arm,x_Ez_m,z_Ez_m,Ez_real,Ez_imag,x_Hy_m,z_Hy_m,Hy_real,Hy_imag
baseline,0.025,0.0032500000000000003,-3.2616603e-12,4.8962184e-12,0.02525,0.00275,8.108783e-15,-1.3430297e-14
baseline,0.025500000000000002,0.0032500000000000003,-2.8409122e-12,5.1619624e-12,0.025750000000000002,0.00275,6.945657e-15,-1.4034717e-14
baseline,0.026000000000000002,0.0032500000000000003,-2.40027e-12,5.391214e-12,0.026250000000000002,0.00275,5.733892e-15,-1.4539927e-14
baseline,0.0265,0.0032500000000000003,-1.9428218e-12,5.5823753e-12,0.02675,0.00275,4.4821134e-15,-1.4942346e-14
baseline,0.027,0.0032500000000000003,-1.4718399e-12,5.7340816e-12,0.02725,0.00275,3.1990317e-15,-1.5239222e-14
baseline,0.0275,0.0032500000000000003,-9.906112e-13,5.845303e-12,0.02775,0.00275,1.893786e-15,-1.5428373e-14
baseline,0.028,0.0032500000000000003,-5.025603e-13,5.9152488e-12,0.02825,0.00275,5.756048e-16,-1.5508646e-14
baseline,0.0285,0.0032500000000000003,-1.1108812e-14,5.9434467e-12,0.02875,0.00275,-7.462521e-16,-1.5479481e-14
baseline,0.029,0.0032500000000000003,4.8024887e-13,5.929722e-12,0.02925,0.00275,-2.0624325e-15,-1.5341074e-14
baseline,0.029500000000000002,0.0032500000000000003,9.680762e-13,5.874181e-12,0.029750000000000002,0.00275,-3.3636614e-15,-1.509442e-14
baseline,0.03,0.0032500000000000003,1.4489024e-12,5.777219e-12,0.03025,0.00275,-4.640752e-15,-1.4741363e-14
baseline,0.0305,0.0032500000000000003,1.9193661e-12,5.6395453e-12,0.03075,0.00275,-5.8847055e-15,-1.4284308e-14
baseline,0.031,0.0032500000000000003,2.3761223e-12,5.4621316e-12,0.03125,0.00275,-7.0867604e-15,-1.37266805e-14
baseline,0.0315,0.0032500000000000003,2.8159946e-12,5.2462496e-12,0.03175,0.00275,-8.238499e-15,-1.3072335e-14
baseline,0.032,0.0032500000000000003,3.235836e-12,4.9934484e-12,0.03225,0.00275,-9.331674e-15,-1.2325972e-14
