        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 2.00000000e+00,        +2.266629502035e-11,        +2.085963442636e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.05000000e+00,        +2.339475970261e-11,        +2.143744370563e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+00,        +2.418466625939e-11,        +2.207956351192e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.15000000e+00,        +2.504216907045e-11,        +2.279394307734e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+00,        +2.597406286716e-11,        +2.358958068140e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.25000000e+00,        +2.698780632839e-11,        +2.447663952703e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+00,        +2.809155124929e-11,        +2.546658580211e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.35000000e+00,        +2.929409270883e-11,        +2.657227015176e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+00,        +3.060481500198e-11,        +2.780802746133e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.45000000e+00,        +3.203353492295e-11,        +2.918969233073e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +3.359032611743e-11,        +3.073464779548e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.55000000e+00,        +3.528518253943e-11,        +3.246168511720e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+00,        +3.712579580937e-11,        +3.438907786276e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.65000000e+00,        +3.912047330682e-11,        +3.653757409431e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+00,        +4.127259431419e-11,        +3.892512358293e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.75000000e+00,        +4.358093875019e-11,        +4.156723316673e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+00,        +4.603681946892e-11,        +4.447389045427e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.85000000e+00,        +4.862103623205e-11,        +4.764596930291e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+00,        +5.130033244794e-11,        +5.107064910488e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.95000000e+00,        +5.402362962328e-11,        +5.471586517357e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +5.671880411053e-11,        +5.852447909461e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.05000000e+00,        +5.929097191887e-11,        +6.240909462536e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+00,        +6.162384257527e-11,        +6.624936503903e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.15000000e+00,        +6.358566032142e-11,        +6.989397850415e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+00,        +6.504075435969e-11,        +7.316946130933e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.25000000e+00,        +6.586620600891e-11,        +7.589663274958e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+00,        +6.597109389617e-11,        +7.791328291485e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.35000000e+00,        +6.531364856531e-11,        +7.909855255106e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+00,        +6.391110155671e-11,        +7.939260922663e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.45000000e+00,        +6.183866551445e-11,        +7.880568868602e-11,        +0.000000000000e+00,        +0.000000000000e+00
