        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 2.00000000e+00,        +1.414213562373e-01,        +6.499185210626e-02,        -3.210711715940e-03,        +4.946925864517e-02,        -4.781420614783e-02
 2.05000000e+00,        +1.414213562373e-01,        +6.436391914698e-02,        -3.565411007620e-03,        +4.813001690866e-02,        -4.905223509012e-02
 2.10000000e+00,        +1.414213562373e-01,        +6.366025305397e-02,        -3.928143882310e-03,        +4.670419403689e-02,        -5.028334438745e-02
 2.15000000e+00,        +1.414213562373e-01,        +6.287271051268e-02,        -4.295099373581e-03,        +4.518404094748e-02,        -5.150359920023e-02
 2.20000000e+00,        +1.414213562373e-01,        +6.199234836823e-02,        -4.661348254834e-03,        +4.356100764543e-02,        -5.270795532753e-02
 2.25000000e+00,        +1.414213562373e-01,        +6.100939516242e-02,        -5.020565367514e-03,        +4.182571532805e-02,        -5.388998580619e-02
 2.30000000e+00,        +1.414213562373e-01,        +5.991324104548e-02,        -5.364706527235e-03,        +3.996794426108e-02,        -5.504155295817e-02
 2.35000000e+00,        +1.414213562373e-01,        +5.869249017027e-02,        -5.683582983753e-03,        +3.797668845669e-02,        -5.615238970430e-02
 2.40000000e+00,        +1.414213562373e-01,        +5.733506510495e-02,        -5.964379111938e-03,        +3.584025767696e-02,        -5.720961219581e-02
 2.45000000e+00,        +1.414213562373e-01,        +5.582844475296e-02,        -6.191067065031e-03,        +3.354651211252e-02,        -5.819713997752e-02
 2.50000000e+00,        +1.414213562373e-01,        +5.415993476820e-02,        -6.343731801470e-03,        +3.108313363157e-02,        -5.909499678048e-02
 2.55000000e+00,        +1.414213562373e-01,        +5.231726141672e-02,        -6.397843533054e-03,        +2.843823061335e-02,        -5.987858035511e-02
 2.60000000e+00,        +1.414213562373e-01,        +5.028999171339e-02,        -6.322615927918e-03,        +2.560179941910e-02,        -6.051723330255e-02
 2.65000000e+00,        +1.414213562373e-01,        +4.806948647556e-02,        -6.082018090480e-03,        +2.256549734133e-02,        -6.097473927119e-02
 2.70000000e+00,        +1.414213562373e-01,        +4.565213866285e-02,        -5.631946078285e-03,        +1.932610885140e-02,        -6.120705091218e-02
 2.75000000e+00,        +1.414213562373e-01,        +4.304097640682e-02,        -4.920656988738e-03,        +1.588702807223e-02,        -6.116242221516e-02
 2.80000000e+00,        +1.414213562373e-01,        +4.024906441222e-02,        -3.888588656852e-03,        +1.226168103646e-02,        -6.078130017001e-02
 2.85000000e+00,        +1.414213562373e-01,        +3.730346257015e-02,        -2.469300311395e-03,        +8.477483276810e-03,        -5.999726157011e-02
 2.90000000e+00,        +1.414213562373e-01,        +3.424975877647e-02,        -5.918658339378e-04,        +4.580376508737e-03,        -5.873940517033e-02
 2.95000000e+00,        +1.414213562373e-01,        +3.115684576831e-02,        +1.814556169757e-03,        +6.396042233709e-04,        -5.693692010327e-02
 3.00000000e+00,        +1.414213562373e-01,        +2.812092877356e-02,        +4.813439696233e-03,        -3.248279542137e-03,        -5.452637253986e-02
 3.05000000e+00,        +1.414213562373e-01,        +2.526742073144e-02,        +8.450604842582e-03,        -6.957514482411e-03,        -5.146199033309e-02
