        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 2.00000000e+00,        -5.337421707721e+00,        -1.775944874543e+02,        -6.258562515178e+00,        -4.402533923853e+01
 2.05000000e+00,        -5.264721011359e+00,        -1.773508409233e+02,        -6.268469665452e+00,        -4.554369622533e+01
 2.10000000e+00,        -5.183983397165e+00,        -1.771081311029e+02,        -6.280370776027e+00,        -4.711343846128e+01
 2.15000000e+00,        -5.094559957184e+00,        -1.768701403575e+02,        -6.294667147045e+00,        -4.873956511232e+01
 2.20000000e+00,        -4.995785736008e+00,        -1.766414082580e+02,        -6.311842915037e+00,        -5.042763603222e+01
 2.25000000e+00,        -4.886990132882e+00,        -1.764273437349e+02,        -6.332483144949e+00,        -5.218383496742e+01
 2.30000000e+00,        -4.767509864525e+00,        -1.762343339638e+02,        -6.357296401061e+00,        -5.401504953199e+01
 2.35000000e+00,        -4.636708600250e+00,        -1.760698793037e+02,        -6.387142613144e+00,        -5.592893151058e+01
 2.40000000e+00,        -4.494000147729e+00,        -1.759427113699e+02,        -6.423067681263e+00,        -5.793398138810e+01
 2.45000000e+00,        -4.338881558084e+00,        -1.758629128931e+02,        -6.466343803781e+00,        -6.003960965754e+01
 2.50000000e+00,        -4.170962263287e+00,        -1.758420254467e+02,        -6.518529293316e+00,        -6.225626371649e+01
 2.55000000e+00,        -3.990014111847e+00,        -1.758931020682e+02,        -6.581524149203e+00,        -6.459547905429e+01
 2.60000000e+00,        -3.796088031291e+00,        -1.760312276433e+02,        -6.657687148493e+00,        -6.706922091325e+01
 2.65000000e+00,        -3.589443953878e+00,        -1.762723600306e+02,        -6.749853675415e+00,        -6.969152291411e+01
 2.70000000e+00,        -3.370787791677e+00,        -1.766344558904e+02,        -6.861536974537e+00,        -7.247650311066e+01
 2.75000000e+00,        -3.141279030387e+00,        -1.771366431999e+02,        -6.997046316066e+00,        -7.543912355948e+01
 2.80000000e+00,        -2.902657213734e+00,        -1.777989022547e+02,        -7.161658128509e+00,        -7.859454600827e+01
 2.85000000e+00,        -2.657350407419e+00,        -1.786414057745e+02,        -7.361818358804e+00,        -8.195747151538e+01
 2.90000000e+00,        -2.408573418792e+00,        -1.796835815610e+02,        -7.605381515355e+00,        -8.554121709935e+01
 2.95000000e+00,        -2.160408916184e+00,        +1.790572032093e+02,        -7.901872520799e+00,        -8.935639158047e+01
