        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 2.00000000e+00,        +7.071067811865e+00,        +3.249592605313e+00,        -1.605355857970e-01,        +2.473462932258e+00,        -2.390710307392e+00
 2.05000000e+00,        +7.071067811865e+00,        +3.218195957349e+00,        -1.782705503810e-01,        +2.406500845433e+00,        -2.452611754506e+00
 2.10000000e+00,        +7.071067811865e+00,        +3.183012652699e+00,        -1.964071941155e-01,        +2.335209701845e+00,        -2.514167219372e+00
 2.15000000e+00,        +7.071067811865e+00,        +3.143635525634e+00,        -2.147549686790e-01,        +2.259202047374e+00,        -2.575179960012e+00
 2.20000000e+00,        +7.071067811865e+00,        +3.099617418412e+00,        -2.330674127417e-01,        +2.178050382272e+00,        -2.635397766377e+00
 2.25000000e+00,        +7.071067811865e+00,        +3.050469758121e+00,        -2.510282683757e-01,        +2.091285766402e+00,        -2.694499290309e+00
 2.30000000e+00,        +7.071067811865e+00,        +2.995662052274e+00,        -2.682353263618e-01,        +1.998397213054e+00,        -2.752077647908e+00
 2.35000000e+00,        +7.071067811865e+00,        +2.934624508513e+00,        -2.841791491876e-01,        +1.898834422835e+00,        -2.807619485215e+00
 2.40000000e+00,        +7.071067811865e+00,        +2.866753255248e+00,        -2.982189555969e-01,        +1.792012883848e+00,        -2.860480609791e+00
 2.45000000e+00,        +7.071067811865e+00,        +2.791422237648e+00,        -3.095533532515e-01,        +1.677325605626e+00,        -2.909856998876e+00
 2.50000000e+00,        +7.071067811865e+00,        +2.707996738410e+00,        -3.171865900735e-01,        +1.554156681578e+00,        -2.954749839024e+00
 2.55000000e+00,        +7.071067811865e+00,        +2.615863070836e+00,        -3.198921766527e-01,        +1.421911530668e+00,        -2.993929017755e+00
 2.60000000e+00,        +7.071067811865e+00,        +2.514499585670e+00,        -3.161307963959e-01,        +1.280089970955e+00,        -3.025861665127e+00
 2.65000000e+00,        +7.071067811865e+00,        +2.403474323778e+00,        -3.041009045240e-01,        +1.128274867066e+00,        -3.048736963559e+00
 2.70000000e+00,        +7.071067811865e+00,        +2.282606933142e+00,        -2.815973039143e-01,        +9.663054425701e-01,        -3.060352545609e+00
 2.75000000e+00,        +7.071067811865e+00,        +2.152048820341e+00,        -2.460328494369e-01,        +7.943514036116e-01,        -3.058121110758e+00
 2.80000000e+00,        +7.071067811865e+00,        +2.012453220611e+00,        -1.944294328426e-01,        +6.130840518231e-01,        -3.039065008501e+00
 2.85000000e+00,        +7.071067811865e+00,        +1.865173128507e+00,        -1.234650155698e-01,        +4.238741638405e-01,        -2.999863078506e+00
 2.90000000e+00,        +7.071067811865e+00,        +1.712487938824e+00,        -2.959329169689e-02,        +2.290188254368e-01,        -2.936970258517e+00
 2.95000000e+00,        +7.071067811865e+00,        +1.557842288416e+00,        +9.072780848784e-02,        +3.198021116855e-02,        -2.846846005163e+00
 3.00000000e+00,        +7.071067811865e+00,        +1.406046438678e+00,        +2.406719848116e-01,        -1.624139771069e-01,        -2.726318626993e+00
 3.05000000e+00,        +7.071067811865e+00,        +1.263371036572e+00,        +4.225302421291e-01,        -3.478757241206e-01,        -2.573099516655e+00
 3.10000000e+00,        +7.071067811865e+00,        +1.137438224207e+00,        +6.370701719364e-01,        -5.167655753570e-01,        -2.386423959359e+00
 3.15000000e+00,        +7.071067811865e+00,        +1.036811022678e+00,        +8.828542137655e-01,        -6.605032667153e-01,        -2.167732980493e+00
 3.20000000e+00,        +7.071067811865e+00,        +9.702201500610e-01,        +1.155676537156e+00,        -7.703409790386e-01,        -1.921236438381e+00
 3.25000000e+00,        +7.071067811865e+00,        +9.454656223416e-01,        +1.448330322429e+00,        -8.384618184737e-01,        -1.654145980347e+00
 3.30000000e+00,        +7.071067811865e+00,        +9.681678765591e-01,        +1.750905608211e+00,        -8.592288758623e-01,        -1.376377107773e+00
 3.35000000e+00,        +7.071067811865e+00,        +1.040674674047e+00,        +2.051697866877e+00,        -8.302784878912e-01,        -1.099640574313e+00
 3.40000000e+00,        +7.071067811865e+00,        +1.161461665492e+00,        +2.338605858695e+00,        -7.531198243001e-01,        -8.360444267653e-01
 3.45000000e+00,        +7.071067811865e+00,        +1.325249495501e+00,        +2.600696136183e+00,        -6.330178370151e-01,        -5.965292025580e-01
 3.50000000e+00,        +7.071067811865e+00,        +1.523826493248e+00,        +2.829525752360e+00,        -4.781705829377e-01,        -3.895451818963e-01
 3.55000000e+00,        +7.071067811865e+00,        +1.747329217811e+00,        +3.019904416976e+00,        -2.984285723375e-01,        -2.202899582065e-01
 3.60000000e+00,        +7.071067811865e+00,        +1.985614027091e+00,        +3.169988718494e+00,        -1.039230627281e-01,        -9.061414033413e-02
 3.65000000e+00,        +7.071067811865e+00,        +2.229393991586e+00,        +3.280821353918e+00,        +9.607099257959e-02,        +5.179043808138e-04
 3.70000000e+00,        +7.071067811865e+00,        +2.470963540258e+00,        +3.355554269284e+00,        +2.938597152877e-01,        +5.625113836994e-02
 3.75000000e+00,        +7.071067811865e+00,        +2.704495069766e+00,        +3.398602545863e+00,        +4.836270139342e-01,        +8.099369561702e-02
 3.80000000e+00,        +7.071067811865e+00,        +2.926000025193e+00,        +3.414904861387e+00,        +6.613956725885e-01,        +7.967729383838e-02
 3.85000000e+00,        +7.071067811865e+00,        +3.133085035957e+00,        +3.409373939188e+00,        +8.247834901135e-01,        +5.720760424471e-02
 3.90000000e+00,        +7.071067811865e+00,        +3.324620859754e+00,        +3.386546624520e+00,        +9.726722157746e-01,        +1.811428396550e-02
 3.95000000e+00,        +7.071067811865e+00,        +3.500406479268e+00,        +3.350401437581e+00,        +1.104871621683e+00,        -3.363149444389e-02
 4.00000000e+00,        +7.071067811865e+00,        +3.660874070742e+00,        +3.304297032067e+00,        +1.221824444404e+00,        -9.467859452641e-02
 4.05000000e+00,        +7.071067811865e+00,        +3.806852767890e+00,        +3.250987318512e+00,        +1.324370124550e+00,        -1.622807920080e-01
 4.10000000e+00,        +7.071067811865e+00,        +3.939392025943e+00,        +3.192678552629e+00,        +1.413568151048e+00,        -2.342396785452e-01
 4.15000000e+00,        +7.071067811865e+00,        +4.059636877928e+00,        +3.131104422930e+00,        +1.490573319581e+00,        -3.088295697610e-01
 4.20000000e+00,        +7.071067811865e+00,        +4.168744563979e+00,        +3.067604305857e+00,        +1.556552282722e+00,        -3.847192049114e-01
 4.25000000e+00,        +7.071067811865e+00,        +4.267831968811e+00,        +3.003196420509e+00,        +1.612631086003e+00,        -4.608986205577e-01
 4.30000000e+00,        +7.071067811865e+00,        +4.357945222422e+00,        +2.938642185815e+00,        +1.659864694573e+00,        -5.366147504101e-01
 4.35000000e+00,        +7.071067811865e+00,        +4.440044341842e+00,        +2.874500555817e+00,        +1.699221652013e+00,        -6.113170817985e-01
 4.40000000e+00,        +7.071067811865e+00,        +4.514997805933e+00,        +2.811172688811e+00,        +1.731578656186e+00,        -6.846129726277e-01
 4.45000000e+00,        +7.071067811865e+00,        +4.583583360060e+00,        +2.748937963307e+00,        +1.757721366283e+00,        -7.562316224436e-01
 4.50000000e+00,        +7.071067811865e+00,        +4.646492500601e+00,        +2.687982610297e+00,        +1.778348890695e+00,        -8.259954281051e-01
 4.55000000e+00,        +7.071067811865e+00,        +4.704336930379e+00,        +2.628422236210e+00,        +1.794080246537e+00,        -8.937974496630e-01
