        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 3.20000000e+00,        +6.531222372932e-11,        +7.330711250047e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.22500000e+00,        +6.584371464802e-11,        +7.478455104350e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.25000000e+00,        +6.620458668063e-11,        +7.610502240400e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.27500000e+00,        +6.638402676997e-11,        +7.724839319684e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+00,        +6.637431531938e-11,        +7.819705885007e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.32500000e+00,        +6.617126380525e-11,        +7.893668440634e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.35000000e+00,        +6.577449178160e-11,        +7.945681318566e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.37500000e+00,        +6.518752202282e-11,        +7.975130199573e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+00,        +6.441768165284e-11,        +7.981854714675e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.42500000e+00,        +6.347581387070e-11,        +7.966148205640e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.45000000e+00,        +6.237582907640e-11,        +7.928736307797e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.47500000e+00,        +6.113411683127e-11,        +7.870733420394e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +5.976888653273e-11,        +7.793585552124e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.52500000e+00,        +5.829946982487e-11,        +7.699001157132e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.55000000e+00,        +5.674563915692e-11,        +7.588876823360e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.57500000e+00,        +5.512698168732e-11,        +7.465222806663e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+00,        +5.346235874895e-11,        +7.330092910930e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.62500000e+00,        +5.176946959069e-11,        +7.185522154752e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.65000000e+00,        +5.006452690635e-11,        +7.033474465183e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.67500000e+00,        +4.836204204805e-11,        +6.875801477550e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+00,        +4.667471074798e-11,        +6.714212543389e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.72500000e+00,        +4.501338520262e-11,        +6.550255242362e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.75000000e+00,        +4.338711578002e-11,        +6.385305152030e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.77500000e+00,        +4.180324544088e-11,        +6.220563372556e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+00,        +4.026754089470e-11,        +6.057060196560e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.82500000e+00,        +3.878434636926e-11,        +5.895663358835e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.85000000e+00,        +3.735674826900e-11,        +5.737089450884e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.87500000e+00,        +3.598674151096e-11,        +5.581917289316e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+00,        +3.467539070933e-11,        +5.430602251028e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.92500000e+00,        +3.342298148771e-11,        +5.283490808202e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.95000000e+00,        +3.222915895984e-11,        +5.140834696757e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.97500000e+00,        +3.109305182076e-11,        +5.002804324952e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +3.001338155174e-11,        +4.869501171125e-11,        +0.000000000000e+00,        +0.000000000000e+00
