        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 3.20000000e+00,        +1.414213562373e-01,        +1.963876062555e-02,        +2.273302749389e-02,        -1.539895896498e-02,        -3.905652695017e-02
 3.22500000e+00,        +1.414213562373e-01,        +1.923851301858e-02,        +2.562139027616e-02,        -1.623426169646e-02,        -3.642631270392e-02
 3.25000000e+00,        +1.414213562373e-01,        +1.906336819103e-02,        +2.859120743688e-02,        -1.684503239766e-02,        -3.371089695337e-02
 3.27500000e+00,        +1.414213562373e-01,        +1.912656431993e-02,        +3.161626318100e-02,        -1.721800132423e-02,        -3.093650942222e-02
 3.30000000e+00,        +1.414213562373e-01,        +1.943722220043e-02,        +3.466786042373e-02,        -1.734401708958e-02,        -2.813185938674e-02
 3.32500000e+00,        +1.414213562373e-01,        +1.999980596439e-02,        +3.771565124568e-02,        -1.721858531418e-02,        -2.532730612500e-02
 3.35000000e+00,        +1.414213562373e-01,        +2.081379269590e-02,        +4.072859510430e-02,        -1.684219876321e-02,        -2.255390071093e-02
 3.37500000e+00,        +1.414213562373e-01,        +2.187358138993e-02,        +4.367598647529e-02,        -1.622042814718e-02,        -1.984235843930e-02
 3.40000000e+00,        +1.414213562373e-01,        +2.316865484830e-02,        +4.652848195347e-02,        -1.536376000892e-02,        -1.722203184906e-02
 3.42500000e+00,        +1.414213562373e-01,        +2.468398480964e-02,        +4.925905359854e-02,        -1.428719117948e-02,        -1.471995766958e-02
 3.45000000e+00,        +1.414213562373e-01,        +2.640064922699e-02,        +5.184381518329e-02,        -1.300961235275e-02,        -1.236003030914e-02
 3.47500000e+00,        +1.414213562373e-01,        +2.829661046086e-02,        +5.426264336255e-02,        -1.155302830811e-02,        -1.016238160639e-02
 3.50000000e+00,        +1.414213562373e-01,        +3.034759424301e-02,        +5.649960038607e-02,        -9.941679971707e-03,        -8.142957900380e-03
 3.52500000e+00,        +1.414213562373e-01,        +3.252800371212e-02,        +5.854312061130e-02,        -8.201130160589e-03,        -6.313333842378e-03
 3.55000000e+00,        +1.414213562373e-01,        +3.481180698909e-02,        +6.038598280604e-02,        -6.357376098503e-03,        -4.680740283266e-03
 3.57500000e+00,        +1.414213562373e-01,        +3.717334652669e-02,        +6.202509351513e-02,        -4.436040194226e-03,        -3.248281060459e-03
 3.60000000e+00,        +1.414213562373e-01,        +3.958803207936e-02,        +6.346111994646e-02,        -2.461677226566e-03,        -2.015300225079e-03
 3.62500000e+00,        +1.414213562373e-01,        +4.203289430431e-02,        +6.469801637773e-02,        -4.572209124333e-04,        -9.778557184619e-04
 3.65000000e+00,        +1.414213562373e-01,        +4.448699055916e-02,        +6.574248830905e-02,        +1.556421745907e-03,        -1.292552901425e-04
 3.67500000e+00,        +1.414213562373e-01,        +4.693166691318e-02,        +6.660343461775e-02,        +3.560632370092e-03,        +5.393856748094e-04
 3.70000000e+00,        +1.414213562373e-01,        +4.935068969021e-02,        +6.729140137976e-02,        +5.539212573222e-03,        +1.038598094834e-03
 3.72500000e+00,        +1.414213562373e-01,        +5.173026563207e-02,        +6.781807284869e-02,        +7.478403952065e-03,        +1.380050188753e-03
 3.75000000e+00,        +1.414213562373e-01,        +5.405897285570e-02,        +6.819581672277e-02,        +9.366818972650e-03,        +1.576092761182e-03
 3.77500000e+00,        +1.414213562373e-01,        +5.632762515957e-02,        +6.843729348165e-02,        +1.119530521844e-02,        +1.639368620587e-03
 3.80000000e+00,        +1.414213562373e-01,        +5.852909064375e-02,        +6.855513328487e-02,        +1.295676395455e-02,        +1.582489567146e-03
 3.82500000e+00,        +1.414213562373e-01,        +6.065808297836e-02,        +6.856167908547e-02,        +1.464594135570e-02,        +1.417779589500e-03
 3.85000000e+00,        +1.414213562373e-01,        +6.271094044886e-02,        +6.846879126456e-02,        +1.625920752716e-02,        +1.157079576874e-03
 3.87500000e+00,        +1.414213562373e-01,        +6.468540457169e-02,        +6.828770703353e-02,        +1.779433510935e-02,        +8.116067929220e-04
 3.90000000e+00,        +1.414213562373e-01,        +6.658040693504e-02,        +6.802894683995e-02,        +1.925028611797e-02,        +3.918613468095e-04
 3.92500000e+00,        +1.414213562373e-01,        +6.839587016416e-02,        +6.770225979659e-02,        +2.062701291652e-02,        -9.242831963457e-05
 3.95000000e+00,        +1.414213562373e-01,        +7.013252662400e-02,        +6.731660048796e-02,        +2.192527693173e-02,        -6.323285743169e-04
 3.97500000e+00,        +1.414213562373e-01,        +7.179175666669e-02,        +6.688013019000e-02,        +2.314648691788e-02,        -1.219699330928e-03
 4.00000000e+00,        +1.414213562373e-01,        +7.337544687608e-02,        +6.640023640350e-02,        +2.429255722042e-02,        -1.847174477689e-03
