        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 3.20000000e+00,        +7.071067811865e+00,        +9.819380312777e-01,        +1.136651374695e+00,        -7.699479482490e-01,        -1.952826347509e+00
 3.22500000e+00,        +7.071067811865e+00,        +9.619256509288e-01,        +1.281069513808e+00,        -8.117130848230e-01,        -1.821315635196e+00
 3.25000000e+00,        +7.071067811865e+00,        +9.531684095517e-01,        +1.429560371844e+00,        -8.422516198831e-01,        -1.685544847669e+00
 3.27500000e+00,        +7.071067811865e+00,        +9.563282159963e-01,        +1.580813159050e+00,        -8.609000662113e-01,        -1.546825471111e+00
 3.30000000e+00,        +7.071067811865e+00,        +9.718611100216e-01,        +1.733393021187e+00,        -8.672008544788e-01,        -1.406592969337e+00
 3.32500000e+00,        +7.071067811865e+00,        +9.999902982195e-01,        +1.885782562284e+00,        -8.609292657090e-01,        -1.266365306250e+00
 3.35000000e+00,        +7.071067811865e+00,        +1.040689634795e+00,        +2.036429755215e+00,        -8.421099381603e-01,        -1.127695035546e+00
 3.37500000e+00,        +7.071067811865e+00,        +1.093679069497e+00,        +2.183799323764e+00,        -8.110214073591e-01,        -9.921179219650e-01
 3.40000000e+00,        +7.071067811865e+00,        +1.158432742415e+00,        +2.326424097673e+00,        -7.681880004459e-01,        -8.611015924529e-01
 3.42500000e+00,        +7.071067811865e+00,        +1.234199240482e+00,        +2.462952679927e+00,        -7.143595589738e-01,        -7.359978834792e-01
 3.45000000e+00,        +7.071067811865e+00,        +1.320032461349e+00,        +2.592190759164e+00,        -6.504806176376e-01,        -6.180015154569e-01
 3.47500000e+00,        +7.071067811865e+00,        +1.414830523043e+00,        +2.713132168127e+00,        -5.776514154053e-01,        -5.081190803197e-01
 3.50000000e+00,        +7.071067811865e+00,        +1.517379712151e+00,        +2.824980019304e+00,        -4.970839985853e-01,        -4.071478950190e-01
 3.52500000e+00,        +7.071067811865e+00,        +1.626400185606e+00,        +2.927156030565e+00,        -4.100565080295e-01,        -3.156666921189e-01
 3.55000000e+00,        +7.071067811865e+00,        +1.740590349454e+00,        +3.019299140302e+00,        -3.178688049252e-01,        -2.340370141633e-01
 3.57500000e+00,        +7.071067811865e+00,        +1.858667326334e+00,        +3.101254675757e+00,        -2.218020097113e-01,        -1.624140530229e-01
 3.60000000e+00,        +7.071067811865e+00,        +1.979401603968e+00,        +3.173055997323e+00,        -1.230838613283e-01,        -1.007650112540e-01
 3.62500000e+00,        +7.071067811865e+00,        +2.101644715215e+00,        +3.234900818887e+00,        -2.286104562167e-02,        -4.889278592309e-02
 3.65000000e+00,        +7.071067811865e+00,        +2.224349527958e+00,        +3.287124415452e+00,        +7.782108729534e-02,        -6.462764507126e-03
 3.67500000e+00,        +7.071067811865e+00,        +2.346583345659e+00,        +3.330171730888e+00,        +1.780316185046e-01,        +2.696928374047e-02
 3.70000000e+00,        +7.071067811865e+00,        +2.467534484511e+00,        +3.364570068988e+00,        +2.769606286611e-01,        +5.192990474170e-02
 3.72500000e+00,        +7.071067811865e+00,        +2.586513281604e+00,        +3.390903642435e+00,        +3.739201976033e-01,        +6.900250943767e-02
 3.75000000e+00,        +7.071067811865e+00,        +2.702948642785e+00,        +3.409790836139e+00,        +4.683409486325e-01,        +7.880463805911e-02
 3.77500000e+00,        +7.071067811865e+00,        +2.816381257978e+00,        +3.421864674083e+00,        +5.597652609220e-01,        +8.196843102933e-02
 3.80000000e+00,        +7.071067811865e+00,        +2.926454532187e+00,        +3.427756664244e+00,        +6.478381977275e-01,        +7.912447835728e-02
 3.82500000e+00,        +7.071067811865e+00,        +3.032904148918e+00,        +3.428083954273e+00,        +7.322970677850e-01,        +7.088897947501e-02
 3.85000000e+00,        +7.071067811865e+00,        +3.135547022443e+00,        +3.423439563228e+00,        +8.129603763579e-01,        +5.785397884370e-02
 3.87500000e+00,        +7.071067811865e+00,        +3.234270228585e+00,        +3.414385351676e+00,        +8.897167554673e-01,        +4.058033964610e-02
 3.90000000e+00,        +7.071067811865e+00,        +3.329020346752e+00,        +3.401447341997e+00,        +9.625143058983e-01,        +1.959306734047e-02
 3.92500000e+00,        +7.071067811865e+00,        +3.419793508208e+00,        +3.385112989830e+00,        +1.031350645826e+00,        -4.621415981728e-03
 3.95000000e+00,        +7.071067811865e+00,        +3.506626331200e+00,        +3.365830024398e+00,        +1.096263846587e+00,        -3.161642871584e-02
 3.97500000e+00,        +7.071067811865e+00,        +3.589587833334e+00,        +3.344006509500e+00,        +1.157324345894e+00,        -6.098496654640e-02
 4.00000000e+00,        +7.071067811865e+00,        +3.668772343804e+00,        +3.320011820175e+00,        +1.214627861021e+00,        -9.235872388443e-02
