        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 2.00000000e+00,        +2.266629502035e-11,        +2.085963442636e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +3.359022438370e-11,        +3.073456513017e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +5.671879692883e-11,        +5.852446966958e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +5.921760291089e-11,        +7.741380389212e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +2.975149755020e-11,        +4.834470103295e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +1.717786458766e-11,        +3.062250109539e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +1.300242624071e-11,        +2.270939537997e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +1.161393598152e-11,        +1.871470970103e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +1.135273243579e-11,        +1.650387182090e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +1.171092313625e-11,        +1.531031978012e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +1.257576193397e-11,        +1.488813775264e-11,        +0.000000000000e+00,        +0.000000000000e+00
