        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 2.00000000e+00,        +1.414213562373e-01,        +6.499185210626e-02,        -3.210711715939e-03,        +4.946925864517e-02,        -4.781420614783e-02
 2.50000000e+00,        +1.414213562373e-01,        +5.415992924532e-02,        -6.343663733110e-03,        +3.108314214690e-02,        -5.909494066077e-02
 3.00000000e+00,        +1.414213562373e-01,        +2.812093323428e-02,        +4.813438317650e-03,        -3.248274390702e-03,        -5.452637540851e-02
 3.50000000e+00,        +1.414213562373e-01,        +3.047652894138e-02,        +5.659051423333e-02,        -9.563413197019e-03,        -7.790905031930e-03
 4.00000000e+00,        +1.414213562373e-01,        +7.321748196371e-02,        +6.608594145625e-02,        +2.443648870853e-02,        -1.893570607860e-03
 4.50000000e+00,        +1.414213562373e-01,        +9.292985057965e-02,        +5.375965177591e-02,        +3.556697808965e-02,        -1.651990809701e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.013527939696e-01,        +4.312692786360e-02,        +3.574031318478e-02,        -2.831957536811e-02
 5.50000000e+00,        +1.414213562373e-01,        +1.057310571535e-01,        +3.470269734033e-02,        +3.231794524372e-02,        -3.695009299284e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.080937857122e-01,        +2.746309143928e-02,        +2.739830039690e-02,        -4.360016779599e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.089631056213e-01,        +2.078920761091e-02,        +2.153642684336e-02,        -4.903804686162e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.083182502862e-01,        +1.438306181228e-02,        +1.471806795158e-02,        -5.369208865692e-02
