        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 2.00000000e+00,        -5.337421707721e+00,        -1.775944874543e+02,        -6.258562515178e+00,        -4.402533923853e+01
 2.50000000e+00,        -4.170962206405e+00,        -1.758420701676e+02,        -6.518535238712e+00,        -6.225623483211e+01
 3.00000000e+00,        -1.917837912212e+00,        +1.775673174868e+02,        -8.262782034729e+00,        -9.340922563703e+01
 3.50000000e+00,        -1.103834499441e+00,        +1.529748724879e+02,        -2.118737849831e+01,        -1.408317639668e+02
 4.00000000e+00,        -3.458658244072e+00,        +1.359035573645e+02,        -1.522352417103e+01,        -4.430965108087e+00
 4.50000000e+00,        -5.815722280562e+00,        +1.320506359788e+02,        -1.114097015037e+01,        -2.491360532027e+01
 5.00000000e+00,        -7.612739189947e+00,        +1.328946867258e+02,        -9.830985693728e+00,        -3.839227228371e+01
 5.50000000e+00,        -9.069156104128e+00,        +1.358037972862e+02,        -9.190563924665e+00,        -4.882583305142e+01
 6.00000000e+00,        -1.030363187546e+01,        +1.405102760208e+02,        -8.775151888371e+00,        -5.785478828134e+01
 6.50000000e+00,        -1.129090340804e+01,        +1.473608160288e+02,        -8.433679164591e+00,        -6.628997992170e+01
 7.00000000e+00,        -1.186189552862e+01,        +1.565153998426e+02,        -8.097436922887e+00,        -7.467064196374e+01
