        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 2.00000000e+00,        +7.071067811865e+00,        +3.249592605313e+00,        -1.605355857970e-01,        +2.473462932258e+00,        -2.390710307392e+00
 2.50000000e+00,        +7.071067811865e+00,        +2.707996462266e+00,        -3.171831866555e-01,        +1.554157107345e+00,        -2.954747033038e+00
 3.00000000e+00,        +7.071067811865e+00,        +1.406046661714e+00,        +2.406719158825e-01,        -1.624137195351e-01,        -2.726318770425e+00
 3.50000000e+00,        +7.071067811865e+00,        +1.523826447069e+00,        +2.829525711667e+00,        -4.781706598510e-01,        -3.895452515965e-01
 4.00000000e+00,        +7.071067811865e+00,        +3.660874098185e+00,        +3.304297072812e+00,        +1.221824435426e+00,        -9.467853039302e-02
 4.50000000e+00,        +7.071067811865e+00,        +4.646492528982e+00,        +2.687982588795e+00,        +1.778348904482e+00,        -8.259954048507e-01
 5.00000000e+00,        +7.071067811865e+00,        +5.067639698481e+00,        +2.156346393180e+00,        +1.787015659239e+00,        -1.415978768405e+00
 5.50000000e+00,        +7.071067811865e+00,        +5.286552857675e+00,        +1.735134867017e+00,        +1.615897262186e+00,        -1.847504649642e+00
 6.00000000e+00,        +7.071067811865e+00,        +5.404689285611e+00,        +1.373154571964e+00,        +1.369915019845e+00,        -2.180008389799e+00
 6.50000000e+00,        +7.071067811865e+00,        +5.448155281066e+00,        +1.039460380546e+00,        +1.076821342168e+00,        -2.451902343081e+00
 7.00000000e+00,        +7.071067811865e+00,        +5.415912514312e+00,        +7.191530906139e-01,        +7.359033975792e-01,        -2.684604432846e+00
