        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 2.00000000e+00,        +2.264270815256e-11,        +2.089144576064e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +3.354825300127e-11,        +3.071177629650e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +5.677726062008e-11,        +5.848487269296e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +5.976889011135e-11,        +7.793585825307e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +3.001338302029e-11,        +4.869501364106e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +1.726492563271e-11,        +3.077771046628e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +1.303596374445e-11,        +2.279219521829e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +1.162728810597e-11,        +1.876531033476e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +1.135583265219e-11,        +1.653585952040e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +1.170657029836e-11,        +1.532834208432e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +1.256353699781e-11,        +1.489251169110e-11,        +0.000000000000e+00,        +0.000000000000e+00
