        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 2.00000000e+00,        -5.380461727619e+00,        -1.776567003659e+02,        -6.224929970671e+00,        -4.394779674648e+01
 2.50000000e+00,        -4.218303081593e+00,        -1.758474405806e+02,        -6.477423043114e+00,        -6.210345743180e+01
 3.00000000e+00,        -1.954437101988e+00,        +1.776897819362e+02,        -8.184560214780e+00,        -9.311441797923e+01
 3.50000000e+00,        -1.098701161147e+00,        +1.530390446582e+02,        -2.083165038947e+01,        -1.406800396312e+02
 4.00000000e+00,        -3.448982105031e+00,        +1.357012862884e+02,        -1.527579680437e+01,        -4.348325796031e+00
 4.50000000e+00,        -5.819760065312e+00,        +1.316977715617e+02,        -1.114170011934e+01,        -2.488974820911e+01
 5.00000000e+00,        -7.631813255785e+00,        +1.324435425874e+02,        -9.823254596065e+00,        -3.838008196599e+01
 5.50000000e+00,        -9.105464662971e+00,        +1.352745835082e+02,        -9.180973073698e+00,        -4.880728847303e+01
 6.00000000e+00,        -1.036172701056e+01,        +1.399244020544e+02,        -8.765573409693e+00,        -5.782092254931e+01
 6.50000000e+00,        -1.137681518662e+01,        +1.467636463350e+02,        -8.424793175719e+00,        -6.623367362309e+01
 7.00000000e+00,        -1.197900232336e+01,        +1.559953286088e+02,        -8.089447590923e+00,        -7.458367104951e+01
