        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 2.00000000e+00,        +7.071067811865e+00,        +3.268310599369e+00,        -1.556130551948e-01,        +2.486304766589e+00,        -2.396622598675e+00
 2.50000000e+00,        +7.071067811865e+00,        +2.731682359434e+00,        -3.150524042225e-01,        +1.569441265835e+00,        -2.964591318850e+00
 3.00000000e+00,        +7.071067811865e+00,        +1.429367422283e+00,        +2.276018595533e-01,        -1.497260508602e-01,        -2.751788665352e+00
 3.50000000e+00,        +7.071067811865e+00,        +1.517379568276e+00,        +2.824980003659e+00,        -4.970841277255e-01,        -4.071479100544e-01
 4.00000000e+00,        +7.071067811865e+00,        +3.668772402701e+00,        +3.320011907335e+00,        +1.214627918735e+00,        -9.235866044188e-02
 4.50000000e+00,        +7.071067811865e+00,        +4.664211866241e+00,        +2.701607438529e+00,        +1.778543206077e+00,        -8.251855030607e-01
 5.00000000e+00,        +7.071067811865e+00,        +5.089037879609e+00,        +2.167289717910e+00,        +1.788908439292e+00,        -1.416859079291e+00
 5.50000000e+00,        +7.071067811865e+00,        +5.310032212214e+00,        +1.744236851409e+00,        +1.618281047768e+00,        -1.849022085528e+00
 6.00000000e+00,        +7.071067811865e+00,        +5.429831373348e+00,        +1.380855188195e+00,        +1.372716261311e+00,        -2.181602760412e+00
 6.50000000e+00,        +7.071067811865e+00,        +5.474942631074e+00,        +1.045922044812e+00,        +1.080335038396e+00,        -2.453351520966e+00
 7.00000000e+00,        +7.071067811865e+00,        +5.444585734962e+00,        +7.243153784000e-01,        +7.406585354413e-01,        -2.685953711527e+00
