sha	settling_db	verdict
fa3a99bda71728b6f00575540995e690ad16cbda	0.00	grows
fc7f7202567e2cf78a65ab90a709e4ff45b185f1	-43.37	settles
f4d53f8d56f7f3a0c8e9affb04139680de2acc0a	-43.37	settles
31b9b3480d05abd0f75af37bc7a49705b2cbfb3a	-43.37	settles
495e180c24372c332e082aa064c201ef0871ee63	0.00	grows
dea0c5246ad36f83ece78a3bd32aacb7e90e129b	-43.37	settles
9d4289d699e0ce8a5ba3578058ecf304c750a50e	-43.37	settles
34956de23615954453730a7698b47bde562c7c23	-43.37	settles
8a61afcea9f7c3ddec5c91ab6ac6790588d5f005	-43.37	settles
d990e18ce0870ac7a893a86627e7232d1cf92c7b	0.00	grows
a3e4dba46fff45d65743b02ef65afb3185d0c15b	-43.37	settles
0ad801dc0b50918aa36f6b6ade48c2d2950bdea2	0.00	grows
