file,line,symbol,category,lane,scope,source,note
rfx/adi.py,272,_apply_pec_2d,APPLY,adi,adi_step_2d,"ez_half = _apply_pec_2d(ez_half, ez_pec_mask)",
rfx/adi.py,327,_apply_pec_2d,APPLY,adi,adi_step_2d,"ez_new = _apply_pec_2d(ez_new, ez_pec_mask)",
rfx/adi.py,859,_apply_pec_3d,APPLY,adi,adi_step_3d,"rhs_ex, rhs_ey, rhs_ez = _apply_pec_3d(rhs_ex, rhs_ey, rhs_ez, pec_edge_masks)",
rfx/adi.py,864,_apply_pec_3d,APPLY,adi,adi_step_3d,"ex1, ey1, ez1 = _apply_pec_3d(ex1, ey1, ez1, pec_edge_masks)",
rfx/adi.py,881,_apply_pec_3d,APPLY,adi,adi_step_3d,"rhs_ex, rhs_ey, rhs_ez = _apply_pec_3d(rhs_ex, rhs_ey, rhs_ez, pec_edge_masks)",
rfx/adi.py,886,_apply_pec_3d,APPLY,adi,adi_step_3d,"ex2, ey2, ez2 = _apply_pec_3d(ex2, ey2, ez2, pec_edge_masks)",
rfx/amr.py,142,axis_pads,DECIDE,other,suggest_refinement_regions,"pad_x, pad_y, pad_z = grid.axis_pads",
rfx/amr.py,142,pad_x,DERIVE,other,suggest_refinement_regions,"pad_x, pad_y, pad_z = grid.axis_pads",
rfx/amr.py,142,pad_y,DERIVE,other,suggest_refinement_regions,"pad_x, pad_y, pad_z = grid.axis_pads",
rfx/amr.py,142,pad_z,DERIVE,other,suggest_refinement_regions,"pad_x, pad_y, pad_z = grid.axis_pads",
rfx/amr.py,144,pad_x,DECIDE,other,suggest_refinement_regions,"float((lo[0] - pad_x) * dx),",
rfx/amr.py,145,pad_y,DECIDE,other,suggest_refinement_regions,"float((lo[1] - pad_y) * dx),",
rfx/amr.py,146,pad_z,DECIDE,other,suggest_refinement_regions,"float((lo[2] - pad_z) * dx),",
rfx/amr.py,149,pad_x,DECIDE,other,suggest_refinement_regions,"float((hi[0] - pad_x) * dx),",
rfx/amr.py,150,pad_y,DECIDE,other,suggest_refinement_regions,"float((hi[1] - pad_y) * dx),",
rfx/amr.py,151,pad_z,DECIDE,other,suggest_refinement_regions,"float((hi[2] - pad_z) * dx),",
rfx/api/__init__.py,409,pec_faces,DECLARE,other,__init__,"pec_faces: set[str] | list[str] | None = None,",
rfx/api/__init__.py,433,pec_faces,DECLARE,other,__init__,if pec_faces is not None:,
rfx/api/__init__.py,567,_pec_faces,DECLARE,other,__init__,self._pec_faces = spec.pec_faces(),
rfx/api/__init__.py,567,pec_faces,DECLARE,other,__init__,self._pec_faces = spec.pec_faces(),
rfx/api/__init__.py,568,absorber_type,DECLARE,other,__init__,legacy_boundary = spec.absorber_type,
rfx/api/__init__.py,574,pec_faces,DECLARE,other,__init__,if pec_faces is not None:,
rfx/api/__init__.py,584,_pec_faces,DECLARE,other,__init__,self._pec_faces = set(pec_faces) if pec_faces else set(),
rfx/api/__init__.py,584,pec_faces,DECLARE,other,__init__,self._pec_faces = set(pec_faces) if pec_faces else set(),
rfx/api/__init__.py,585,_pec_faces,DECLARE,other,__init__,if self._pec_faces - _valid_faces:,
rfx/api/__init__.py,588,_pec_faces,DECLARE,other,__init__,"f""got invalid: {self._pec_faces - _valid_faces}"")",
rfx/api/__init__.py,595,_pec_faces,DECLARE,other,__init__,"if not _explicit_spec and boundary == ""pec"" and self._pec_faces:",
rfx/api/__init__.py,605,_boundary,DECLARE,other,__init__,self._boundary = boundary,
rfx/api/__init__.py,606,_cpml_layers,DECLARE,other,__init__,"self._cpml_layers = cpml_layers if boundary in (""cpml"", ""upml"") else 0",
rfx/api/__init__.py,625,_boundary,DECLARE,other,__init__,"if self._boundary == ""upml"":",
rfx/api/__init__.py,627,_boundary,DECLARE,other,__init__,"if self._boundary not in (""pec"", ""cpml""):",
rfx/api/__init__.py,690,_periodic_axes,DECLARE,other,__init__,"self._periodic_axes: str = """"",
rfx/api/__init__.py,701,_boundary_spec,DECLARE,other,__init__,self._boundary_spec = spec,
rfx/api/__init__.py,702,_periodic_axes,DECLARE,other,__init__,self._periodic_axes = spec.periodic_axes(),
rfx/api/__init__.py,704,_boundary_spec,DECLARE,other,__init__,self._boundary_spec = self._build_spec_from_legacy(),
rfx/api/__init__.py,716,_cpml_layers,DECLARE,other,__init__,"if self._solver == ""adi"" and self._cpml_layers > 0:",
rfx/api/__init__.py,719,_boundary_spec,PASS,other,__init__,"getattr(getattr(self._boundary_spec, ax), side)",
rfx/api/__init__.py,724,_boundary_spec,PASS,other,__init__,"getattr(self._boundary_spec, ax), f""{side}_thickness"")",
rfx/api/__init__.py,839,_boundary,DECIDE,other,add_refinement,"if self._boundary in (""cpml"", ""upml"") and self._cpml_layers > 0:",
rfx/api/__init__.py,839,_cpml_layers,DECIDE,other,add_refinement,"if self._boundary in (""cpml"", ""upml"") and self._cpml_layers > 0:",
rfx/api/__init__.py,841,_boundary,DECIDE,other,add_refinement,z_lo_kind = self._boundary_spec.z.lo if self._boundary_spec else self._boundary,
rfx/api/__init__.py,841,_boundary_spec,DECIDE,other,add_refinement,z_lo_kind = self._boundary_spec.z.lo if self._boundary_spec else self._boundary,
rfx/api/__init__.py,842,_boundary,DECIDE,other,add_refinement,z_hi_kind = self._boundary_spec.z.hi if self._boundary_spec else self._boundary,
rfx/api/__init__.py,842,_boundary_spec,DECIDE,other,add_refinement,z_hi_kind = self._boundary_spec.z.hi if self._boundary_spec else self._boundary,
rfx/api/__init__.py,1090,_boundary,PASS,other,add_source,"f""{legacy_kind_description(_is_nu, self._boundary)}. """,
rfx/api/__init__.py,2260,_boundary,DECIDE,other,add_tfsf_source,"if self._boundary != ""cpml"":",
rfx/api/__init__.py,2262,_cpml_layers,DECIDE,other,add_tfsf_source,if self._cpml_layers <= 0:,
rfx/api/__init__.py,2268,_periodic_axes,DECIDE,other,add_tfsf_source,if self._periodic_axes:,
rfx/api/__init__.py,2296,bloch,DECIDE,other,add_tfsf_source,"if method not in (""bloch"", ""methodB""):",
rfx/api/__init__.py,2398,_boundary,DECIDE,other,add_waveguide_port,"if self._boundary != ""cpml"":",
rfx/api/__init__.py,2400,_cpml_layers,DECIDE,other,add_waveguide_port,if self._cpml_layers <= 0:,
rfx/api/__init__.py,2404,_periodic_axes,DECIDE,other,add_waveguide_port,if self._periodic_axes:,
rfx/api/__init__.py,2504,axis_pads,DECIDE,other,add_waveguide_port,axis_pad = grid.axis_pads[axis_idx],
rfx/api/__init__.py,2592,_boundary,DECIDE,other,_build_spec_from_legacy,default = self._boundary  # 'cpml' | 'upml' | 'pec',
rfx/api/__init__.py,2595,_periodic_axes,DECIDE,other,_build_spec_from_legacy,if axis_name in self._periodic_axes:,
rfx/api/__init__.py,2598,_pec_faces,DECIDE,other,_build_spec_from_legacy,"lo_tok = ""pec"" if f""{axis_name}_lo"" in self._pec_faces else default",
rfx/api/__init__.py,2599,_pec_faces,DECIDE,other,_build_spec_from_legacy,"hi_tok = ""pec"" if f""{axis_name}_hi"" in self._pec_faces else default",
rfx/api/__init__.py,2633,_periodic_axes,DERIVE,other,set_periodic_axes,self._periodic_axes = normalized,
rfx/api/__init__.py,2636,_boundary_spec,DERIVE,other,set_periodic_axes,self._boundary_spec = self._build_spec_from_legacy(),
rfx/api/__init__.py,2722,_periodic_axes,DECIDE,floquet,add_floquet_port,if not self._periodic_axes:,
rfx/api/__init__.py,2723,_periodic_axes,DERIVE,floquet,add_floquet_port,self._periodic_axes = transverse,
