tag,subcase,shape,dx_m,dt_s,n_steps,source_end_s,post_source_peak_J,final_J,end_over_post_source_peak_db,below_minus40db,periodic,bloch,face_pads,apply_bloch_periodic_x_calls
full_theta0_r1,,9x9x117,0.00093685143125,1.7861773953054048e-12,2400,8.912676813146139e-10,1.2830269789697378e-22,8.758682571326051e-26,-31.65797001538154,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta15_r1,,9x9x117,0.00093685143125,1.7861773953054048e-12,2400,8.912676813146139e-10,1.2830269789697378e-22,8.758682571326051e-26,-31.65797001538154,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta30_r1,,9x9x117,0.00093685143125,1.7861773953054048e-12,2400,8.912676813146139e-10,1.2830269789697378e-22,8.758682571326051e-26,-31.65797001538154,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta45_r1,,9x9x117,0.00093685143125,1.7861773953054048e-12,2400,8.912676813146139e-10,1.2830269789697378e-22,8.758682571326051e-26,-31.65797001538154,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta0_r2,,17x17x213,0.000468425715625,8.930886976527024e-13,4800,8.912676813146139e-10,8.630669206507083e-24,4.523852591630946e-26,-22.805360263012115,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta30_r2,,17x17x213,0.000468425715625,8.930886976527024e-13,4800,8.912676813146139e-10,8.630669206507083e-24,4.523852591630946e-26,-22.805360263012115,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta0_r4,,33x33x405,0.0002342128578125,4.465443488263512e-13,9600,8.912676813146139e-10,5.770885328088761e-25,2.2901564228659056e-26,-14.013772979816157,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_theta30_r4,,33x33x405,0.0002342128578125,4.465443488263512e-13,9600,8.912676813146139e-10,5.770885328088761e-25,2.2901564228659056e-26,-14.013772979816157,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
full_forward_theta30_r1,,9x9x117,0.00093685143125,1.7861773953054048e-12,2400,8.912676813146139e-10,1.2830267265342481e-22,8.757472779172185e-26,-31.65856907115814,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
ris_theta30_r1,,9x9x83,0.00093685143125,1.7861773953054048e-12,2400,8.912676813146139e-10,5.024141509382272e-24,8.944362555785193e-26,-17.4951246835488,False,"[True, True, False]",None,"[0, 0, 0, 0, 10, 10]",0
tfsf_theta30_r1,vacuum,117x29x29,0.00093685143125,1.7861773953054048e-12,3200,2.970892271048713e-09,5.3979391324534e-26,5.156992508235726e-27,-10.198314826219285,False,"[False, True, True]","[{'real': 1.0, 'imag': 0.0}, {'real': 0.9987954497337341, 'imag': 0.049067676067352295}, {'real': 1.0, 'imag': 0.0}]","[10, 10, 10, 10, 10, 10]",0
tfsf_theta30_r1,slab,117x29x29,0.00093685143125,1.7861773953054048e-12,3200,2.970892271048713e-09,1.0267158472260994e-22,2.5617930488961813e-27,-46.029062224393854,True,"[False, True, True]","[{'real': 1.0, 'imag': 0.0}, {'real': 0.9987954497337341, 'imag': 0.049067676067352295}, {'real': 1.0, 'imag': 0.0}]","[10, 10, 10, 10, 10, 10]",0
