tag,theta_deg,refine,plane,frequency_Hz,native_s_params,diagnostic_magnitude,diagnostic_phase_deg,analytic_reported_angle_magnitude,analytic_reported_angle_phase_deg,analytic_normal_magnitude,analytic_normal_phase_deg,magnitude_error_db_at_angle,magnitude_error_db_at_normal,phase_error_deg_at_angle,phase_error_deg_at_normal
full_theta0_r1,0.0,1,source_plane,4000000000.0,None,0.6071862578392029,-3.904080629348755,0.5807025884298926,-21.429231639289984,0.5807025884298926,-21.429231639289984,0.38736343899132825,0.38736343899132825,17.52515088466338,17.52515088466338
full_theta0_r1,0.0,1,source_plane,4125000000.0,None,0.6258845925331116,-13.73641300201416,0.5852876192998608,-30.035627527296356,0.5852876192998608,-30.035627527296356,0.5824984622841388,0.5824984622841388,16.299213991553803,16.299213991553803
full_theta0_r1,0.0,1,source_plane,4250000000.0,None,0.6400549411773682,-23.847543716430664,0.5892305891148852,-38.62799299956749,0.5892305891148852,-38.62799299956749,0.718639401577092,0.718639401577092,14.780449548132633,14.780449548132633
full_theta0_r1,0.0,1,source_plane,4375000000.0,None,0.6479983329772949,-34.22328567504883,0.592544599053349,-47.20833868292012,0.592544599053349,-47.20833868292012,0.7770568932713269,0.7770568932713269,12.985059321950928,12.985059321950928
full_theta0_r1,0.0,1,source_plane,4500000000.0,None,0.6519138813018799,-44.62995147705078,0.5952407889492943,-55.77867360671647,0.5952407889492943,-55.77867360671647,0.7899508999268595,0.7899508999268595,11.148720986972798,11.148720986972798
full_theta0_r1,0.0,1,source_plane,4625000000.0,None,0.6502524018287659,-55.2694206237793,0.5973283062115685,-64.34100437488237,0.5973283062115685,-64.34100437488237,0.737377388482777,0.737377388482777,9.07159068880139,9.07159068880139
full_theta0_r1,0.0,1,source_plane,4750000000.0,None,0.6447807550430298,-65.74197387695312,0.5988142840279309,-72.89733494667621,0.5988142840279309,-72.89733494667621,0.6423983017324917,0.6423983017324917,7.155366367225187,7.155366367225187
full_theta0_r1,0.0,1,source_plane,4875000000.0,None,0.6348583102226257,-76.46212005615234,0.5997038266394056,-81.44966689265497,0.5997038266394056,-81.44966689265497,0.49479977598611125,0.49479977598611125,4.987550568322314,4.987550568322314
full_theta0_r1,0.0,1,source_plane,5000000000.0,None,0.6203979253768921,-86.78251647949219,0.5999999999999999,-89.99999999999999,0.5999999999999999,-89.99999999999999,0.2903817294178476,0.2903817294178476,3.2174814043541375,3.2174814043541375
full_theta0_r1,0.0,1,source_plane,5125000000.0,None,0.603423535823822,-97.30631256103516,0.5997038266394056,-98.55033310734501,0.5997038266394056,-98.55033310734501,0.053708505704628276,0.053708505704628276,1.244025601736249,1.244025601736249
full_theta0_r1,0.0,1,source_plane,5250000000.0,None,0.5804063677787781,-107.10247802734375,0.598814284027931,-107.10266505332372,0.598814284027931,-107.10266505332372,-0.2711996569916614,-0.2711996569916614,0.00019412907953843058,0.00019412907953843058
full_theta0_r1,0.0,1,source_plane,5375000000.0,None,0.5587097406387329,-116.87852478027344,0.5973283062115684,-115.65899562511754,0.5973283062115684,-115.65899562511754,-0.5805370521204011,-0.5805370521204011,-1.219524730987387,-1.219524730987387
full_theta0_r1,0.0,1,source_plane,5500000000.0,None,0.5299732685089111,-125.50128173828125,0.5952407889492942,-124.22132639328346,0.5952407889492942,-124.22132639328346,-1.0087743801205367,-1.0087743801205367,-1.279955823371966,-1.279955823371966
full_theta0_r1,0.0,1,source_plane,5625000000.0,None,0.5100530385971069,-133.66661071777344,0.5925445990533489,-132.79166131707973,0.5925445990533489,-132.79166131707973,-1.3021140954676322,-1.3021140954676322,-0.8749529204595611,-0.8749529204595611
full_theta0_r1,0.0,1,source_plane,5750000000.0,None,0.48431873321533203,-140.46371459960938,0.5892305891148854,-141.37200700043243,0.5892305891148854,-141.37200700043243,-1.7030803379586525,-1.7030803379586525,0.9082928038402797,0.9082928038402797
full_theta0_r1,0.0,1,source_plane,5875000000.0,None,0.4787198603153229,-146.57742309570312,0.5852876192998607,-149.96437247270353,0.5852876192998607,-149.96437247270353,-1.745757847424585,-1.745757847424585,3.3869612276310197,3.3869612276310197
full_theta0_r1,0.0,1,source_plane,6000000000.0,None,0.468017041683197,-152.20111083984375,0.5807025884298928,-158.5707683607099,0.5807025884298928,-158.5707683607099,-1.8738418948972724,-1.8738418948972724,6.369664849094023,6.369664849094023
