case,mode,f0_Hz,scale,layers,status,reflectivity_dB,run_id
exact_2GHz_0_16,exact,2000000000.0,0.0,16,complete,-47.41969709913696,369367263428
exact_2GHz_0_4,exact,2000000000.0,0.0,4,complete,-47.34667567991157,369367263428
exact_2GHz_0_8,exact,2000000000.0,0.0,8,complete,-47.5636758632286,369367263428
exact_2GHz_1_16,exact,2000000000.0,1.0,16,complete,-47.322360958944465,369367263428
exact_2GHz_1_4,exact,2000000000.0,1.0,4,complete,-47.35157361587685,369367263428
exact_2GHz_1_8,exact,2000000000.0,1.0,8,complete,-47.33125912466618,369367263428
exact_2GHz_3_16,exact,2000000000.0,3.0,16,complete,-47.319560305197214,369367263428
exact_2GHz_3_4,exact,2000000000.0,3.0,4,complete,-47.44145602726544,369367263428
exact_2GHz_3_8,exact,2000000000.0,3.0,8,complete,-47.298866909659296,369367263428
frequency_0.5GHz_0_8,frequency,500000000.0,0,8,STOP,,
frequency_0.5GHz_1_8,frequency,500000000.0,1,8,STOP,,
frequency_0.5GHz_3_8,frequency,500000000.0,3,8,STOP,,
frequency_1GHz_0_8,frequency,1000000000.0,0.0,8,complete,-64.51638741733744,369367263447
frequency_1GHz_1_8,frequency,1000000000.0,1.0,8,complete,-68.58678811225087,369367263447
frequency_1GHz_3_8,frequency,1000000000.0,3.0,8,complete,-71.28695053104518,369367263447
frequency_2GHz_0_8,frequency,2000000000.0,0.0,8,complete,-66.24516504458494,369367263449
frequency_2GHz_1_8,frequency,2000000000.0,1.0,8,complete,-68.25129399141206,369367263449
frequency_2GHz_3_8,frequency,2000000000.0,3.0,8,complete,-70.35443430121354,369367263449
frequency_4GHz_0_8,frequency,4000000000.0,0.0,8,complete,-61.43262904490694,369367263450
frequency_4GHz_1_8,frequency,4000000000.0,1.0,8,complete,-62.47223899580712,369367263450
frequency_4GHz_3_8,frequency,4000000000.0,3.0,8,complete,-63.69197738525052,369367263450
patch_source_2GHz_1_8,patch_source,2000000000.0,1.0,8,complete,-36.02974735693668,369367263428
