rig,scale,N,drive,steps,dt_s,end_energy_J,probe_settling_db,settling_signal_kind,witness_file,definition,source_end_definition,post_source_start_step,post_source_start_s,post_source_peak_energy_J,end_vs_post_peak_db,last_5pct_max_energy_J,last_5pct_vs_post_peak_db,status,reason
msl,0,4,two_port/0,25177,9.53287434765503e-14,7.335967065786846e-29,-105.08470079040069,field probes,raw/msl/0_4/two_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,8.521464824814623e-25,-40.650568827040246,1.443294066994982e-28,-37.711594292867716,below -40 dB,
msl,0,4,two_port/1,25177,9.53287434765503e-14,1.460889784264079e-29,-101.5695007978225,field probes,raw/msl/0_4/two_port/witness_01.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,2.5582991808654695e-26,-32.43333879628986,1.6133134472041304e-29,-32.002325780483446,truncation-suspect,
msl,0,4,one_port/0,25177,9.53287434765503e-14,7.686945529586438e-29,-104.2930590617755,field probes,raw/msl/0_4/one_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,6.503441286199623e-25,-39.27389420109739,1.4748657162027004e-28,-36.44390743334321,truncation-suspect,
msl,0.01,4,two_port/0,25177,9.53287434765503e-14,5.325875379129098e-27,-93.02385203525648,field probes,raw/msl/0.01_4/two_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,7.632835694834178e-25,-21.562949137097313,5.428858705115372e-27,-21.479773752348738,truncation-suspect,
msl,0.01,4,two_port/1,25177,9.53287434765503e-14,5.2121942826737305e-27,-90.5994322153683,field probes,raw/msl/0.01_4/two_port/witness_01.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,2.645014869946285e-26,-7.054075224144904,5.259372632963418e-27,-7.014941757307901,truncation-suspect,
msl,0.01,4,one_port/0,25177,9.53287434765503e-14,9.819829140968597e-27,-92.14050407097523,field probes,raw/msl/0.01_4/one_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,5.437617726650369e-25,-17.4330474132398,9.957267353659959e-27,-17.372685045812023,truncation-suspect,
msl,0.03,4,two_port/0,25177,9.53287434765503e-14,3.181252931031583e-25,-76.48481886318939,field probes,raw/msl/0.03_4/two_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,5.59720773904304e-25,-2.4537322612688235,3.2710948204130065e-25,-2.332782925837159,truncation-suspect,
msl,0.03,4,two_port/1,25177,9.53287434765503e-14,3.167110627153233e-25,-75.06644153251332,field probes,raw/msl/0.03_4/two_port/witness_01.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,4.131105802385263e-25,-1.1540308436147066,3.2565864357708277e-25,-1.033037082673525,truncation-suspect,
msl,0.03,4,one_port/0,25177,9.53287434765503e-14,5.906194694856795e-25,-75.7643218187105,field probes,raw/msl/0.03_4/one_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,9.048736495635952e-25,-1.8528018232151555,6.069256188270504e-25,-1.7345247169160962,truncation-suspect,
msl,0.1,4,two_port/0,25177,9.53287434765503e-14,1.3174310805353806e-23,-60.737578137327674,field probes,raw/msl/0.1_4/two_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,3.746229756957477e-23,-4.5386650421287165,1.475015907114593e-23,-4.047977052851637,truncation-suspect,
msl,0.1,4,two_port/1,25177,9.53287434765503e-14,1.2982484287892117e-23,-59.674259525222375,field probes,raw/msl/0.1_4/two_port/witness_01.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,3.879384744593353e-23,-4.7540504797080345,1.4540268427815585e-23,-4.261904295263656,truncation-suspect,
msl,0.1,4,one_port/0,25177,9.53287434765503e-14,2.5050055586517958e-23,-59.7529160018832,field probes,raw/msl/0.1_4/one_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,7.002086535834021e-23,-4.464187798129993,2.801044703769887e-23,-3.979074336457853,truncation-suspect,
msl,0.3,4,two_port/0,25177,9.53287434765503e-14,3.789495306620867e-24,-63.647736081551784,field probes,raw/msl/0.3_4/two_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,1.2461758655859793e-21,-25.1699796259617,3.789495306620867e-24,-25.1699796259617,truncation-suspect,
msl,0.3,4,two_port/1,25177,9.53287434765503e-14,3.1968680875237867e-24,-68.12282717824746,field probes,raw/msl/0.3_4/two_port/witness_01.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,1.234023419164839e-21,-25.865986854363122,3.1968680875237867e-24,-25.865986854363122,truncation-suspect,
msl,0.3,4,one_port/0,25177,9.53287434765503e-14,5.6506532625869895e-24,-62.586812537313286,field probes,raw/msl/0.3_4/one_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,2.443920669814084e-21,-26.359884457261806,5.6506532625869895e-24,-26.359884457261806,truncation-suspect,
msl,1,4,two_port/0,25177,9.53287434765503e-14,1.5139583223125285e-21,-33.41166508411223,field probes,raw/msl/1_4/two_port/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,1.0497084339804877e-20,-8.409547669399362,2.347262918870772e-21,-6.505069485870225,truncation-suspect,
msl,1,4,two_port/1,25177,9.53287434765503e-14,1.225964466644199e-21,-33.16233112266713,field probes,raw/msl/1_4/two_port/witness_01.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",11698,1.1151556411886853e-09,1.0296773345628499e-20,-9.242232703081417,1.9785406984767245e-21,-7.163561649728127,truncation-suspect,
