scale,N,f_alpha_formula_Hz,crossings_minus40_Hz,crossings_minus60_Hz,samples_at_or_below_minus40,samples_at_or_below_minus60,min_R_db,max_R_db,status
0,4,0.0,[],[],0,0,-17.68068729275993,-5.895101060511231,complete
0.01,4,8987551.792261172,[],[],0,0,-17.6933417826714,-5.904783829912267,complete
0.03,4,26962655.376783516,[],[],0,0,-17.72046365181494,-5.924211001757276,complete
0.1,4,89875517.92261173,[],[],0,0,-17.824254800920915,-5.994364210462729,complete
0.3,4,269626553.76783514,[],[],0,0,-18.234994665581212,-6.2072753670057335,complete
1,4,898755179.2261173,[],[],0,0,-18.865132613055806,-1.3416801559753204,complete
3,4,2696265537.678352,[],[],0,0,-13.144379530328656,11.359678056104768,complete
0,8,0.0,[],[],0,0,-36.438829227920706,-13.212230857709418,complete
0.01,8,8987551.792261172,[],[],0,0,-36.46825570473545,-13.216704244617684,complete
0.03,8,26962655.376783516,[],[],0,0,-36.52801151539335,-13.22565860624702,complete
0.1,8,89875517.92261173,[],[],0,0,-36.74252771250142,-13.256953166919681,complete
0.3,8,269626553.76783514,[],[],0,0,-37.45906895740649,-13.348029272793191,complete
1,8,898755179.2261173,"[251372714.39884633, 287364644.8335414]",[],2,0,-45.10574153552988,-13.67561548621673,complete
3,8,2696265537.678352,"[703676222.7277731, 818425520.6274117, 1139426485.081246, 1229028339.6493943]",[],10,0,-56.15052094661291,-1.9639091324737419,complete
0,16,0.0,"[323190151.9766179, 1004299182.3002101]",[],34,0,-48.48054343395348,-24.057390260389873,complete
0.01,16,8987551.792261172,"[322776113.02334404, 1004506332.2574167]",[],34,0,-48.45128998020927,-24.06637661406542,complete
0.03,16,26962655.376783516,"[321826989.1699414, 1004909662.4186497]",[],34,0,-48.394160116068846,-24.084342287114264,complete
0.1,16,89875517.92261173,"[315426019.9563998, 1006283203.6266493]",[],35,0,-48.20678003468644,-24.147331772970308,complete
0.3,16,269626553.76783514,"[270248930.19866604, 1009850191.3631172]",[],37,0,-47.75149915565419,-24.327729116801684,complete
1,16,898755179.2261173,[1018905492.922871],[],41,0,-46.92750978960127,-24.961447305236675,complete
3,16,2696265537.678352,"[349996024.24163854, 1019030518.1926297, 1023415368.1555955, 1046729126.8037589]",[],34,0,-53.61765389914331,-26.242773894933826,complete
