rig,scale,N,drive,steps,dt_s,end_energy_J,probe_settling_db,settling_signal_kind,witness_file,definition,source_end_definition,post_source_start_step,post_source_start_s,post_source_peak_energy_J,end_vs_post_peak_db,last_5pct_max_energy_J,last_5pct_vs_post_peak_db,status
plane,0,4,small/0,4096,4.766437173827515e-12,3.9344482410722843e-31,-137.13703464176808,field probes,raw/plane/0_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,3.756753662063189e-18,-129.79928882028838,3.9762883167977125e-31,-129.75334851291942,below -40 dB
plane,0.01,4,small/0,4096,4.766437173827515e-12,3.039438841802528e-29,-131.25173411189087,field probes,raw/plane/0.01_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,3.748280437458502e-18,-110.9103866718158,3.039438841802528e-29,-110.9103866718158,below -40 dB
plane,0.03,4,small/0,4096,4.766437173827515e-12,1.2859794002387185e-26,-96.16660765139223,field probes,raw/plane/0.03_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,3.730964652105623e-18,-84.62587122672448,1.3574706131091527e-26,-84.39090697830525,below -40 dB
plane,0.1,4,small/0,4096,4.766437173827515e-12,3.493790685365206e-26,-88.76153752759878,field probes,raw/plane/0.1_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,3.666909853421048e-18,-80.21003350842442,3.493790685365206e-26,-80.21003350842442,below -40 dB
plane,0.3,4,small/0,4096,4.766437173827515e-12,1.1970053102383324e-24,-85.60677475858155,field probes,raw/plane/0.3_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,3.462778842240671e-18,-64.61328678233309,1.3247259337057535e-24,-64.17298716860655,below -40 dB
plane,1,4,small/0,4096,4.766437173827515e-12,6.630793058029285e-23,-56.82512541395436,field probes,raw/plane/1_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,2.745150650399626e-18,-46.17000708847122,6.630793058029285e-23,-46.17000708847122,below -40 dB
plane,3,4,small/0,4096,4.766437173827515e-12,1.3310539668392965e-21,-54.67272456157677,field probes,raw/plane/3_4/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,3.488858812978702e-18,-34.18487730730474,1.3310539668392965e-21,-34.18487730730474,truncation-suspect
plane,0,8,small/0,4096,4.766437173827515e-12,1.8836283695796749e-31,-155.9957086911372,field probes,raw/plane/0_8/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,1.0578823193698328e-18,-127.49442135941165,1.9099774281016617e-31,-127.43409123893852,below -40 dB
plane,0.01,8,small/0,4096,4.766437173827515e-12,4.303102547597507e-31,-141.8230869505361,field probes,raw/plane/0.01_8/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,1.057174356163064e-18,-123.90364924009127,5.438950765350741e-31,-122.88631492425057,below -40 dB
plane,0.03,8,small/0,4096,4.766437173827515e-12,1.900243004217248e-29,-130.94727706608953,field probes,raw/plane/0.03_8/small/witness_00.npz,0.5*dx^3*sum_interior(eps0*eps_r*sum(E_i^2)+mu0*mu_r*sum(H_i^2)); same-step Yee samples,"last source-table sample > 1e-6 of that source peak, then one step",151,7.197320132479548e-10,1.0557374400414828e-18,-107.44746781044299,1.900243004217248e-29,-107.44746781044299,below -40 dB
